,League,Round,Week,Year,Date,Local,Visitor,Goalslocal,Goalsvisitor,Result
0,england,,52,2022,2022-01-01,Arsenal,Manchester City,1,2,v
1,england,,52,2022,2022-01-01,Crystal Palace,West Ham Utd,2,3,v
2,england,,52,2022,2022-01-01,Watford,Tottenham,0,1,v
3,england,,52,2022,2022-01-02,Brentford,Aston Villa,2,1,l
4,england,,52,2022,2022-01-02,Chelsea,Liverpool,2,2,t
5,england,,52,2022,2022-01-02,Everton,Brighton,2,3,v
6,england,,52,2022,2022-01-02,Leeds Utd,Burnley,3,1,l
7,portugal,,52,2022,2022-01-02,Vizela,Belenenses,2,0,l
8,spain,,52,2022,2022-01-02,Alaves,Real Sociedad,1,1,t
9,spain,,52,2022,2022-01-02,Atletico Madrid,Rayo Vallecano,2,0,l
10,spain,,52,2022,2022-01-02,Elche,Granada,0,0,t
11,spain,,52,2022,2022-01-02,Getafe,Real Madrid,1,0,l
12,spain,,52,2022,2022-01-02,Mallorca,FC Barcelona,0,1,v
13,spain,,52,2022,2022-01-02,Real Betis,Celta Vigo,0,2,v
14,england,,1,2022,2022-01-03,Manchester Utd,Wolverhampton,0,1,v
15,portugal,,1,2022,2022-01-03,Tondela,Moreirense,2,1,l
16,spain,,1,2022,2022-01-03,Cadiz,Sevilla FC,0,1,v
17,spain,,1,2022,2022-01-03,Osasuna,Athletic Bilbao,1,3,v
18,spain,,1,2022,2022-01-03,Villarreal,Levante,5,0,l
19,italy,,1,2022,2022-01-06,AC Milan,AS Roma,3,1,l
20,italy,,1,2022,2022-01-06,Juventus,Napoli,1,1,t
21,italy,,1,2022,2022-01-06,Lazio,Empoli,3,3,t
22,italy,,1,2022,2022-01-06,Sampdoria,Cagliari,1,2,v
23,italy,,1,2022,2022-01-06,Sassuolo,Genoa,1,1,t
24,italy,,1,2022,2022-01-06,Spezia,Hellas Verona,1,2,v
25,france,,1,2022,2022-01-07,Bordeaux,Marseille,0,1,v
26,germany,,1,2022,2022-01-07,Bayern Munich,Monchengladbach,1,2,v
27,portugal,,1,2022,2022-01-07,Santa Clara,Sporting CP,3,2,l
28,france,,1,2022,2022-01-08,Lens,Rennes,1,0,l
29,germany,,1,2022,2022-01-08,E. Frankfurt,Dortmund,2,3,v
30,germany,,1,2022,2022-01-08,Freiburg,Bielefeld,2,2,t
31,germany,,1,2022,2022-01-08,Greuther Furth,Stuttgart,0,0,t
32,germany,,1,2022,2022-01-08,Hoffenheim,FC Augsburg,3,1,l
33,germany,,1,2022,2022-01-08,Leverkusen,Union Berlin,2,2,t
34,germany,,1,2022,2022-01-08,RB Leipzig,FSV Mainz,4,1,l
35,portugal,,1,2022,2022-01-08,Boavista,Tondela,1,1,t
36,portugal,,1,2022,2022-01-08,Estoril,FC Porto,2,3,v
37,portugal,,1,2022,2022-01-08,Vizela,Moreirense,0,1,v
38,spain,,1,2022,2022-01-08,Granada,FC Barcelona,1,1,t
39,spain,,1,2022,2022-01-08,Levante,Mallorca,2,0,l
