,League,Round,Week,Year,Date,Local,Visitor,max_prob,bet,phg,pag
20,england,,16,2023,2023-04-22,Liverpool,Nottm Forest,0.9143490230336662,Local,4.0,0.0
40,portugal,,16,2023,2023-04-22,Pacos Ferreira,FC Porto,0.8314808740056233,Visitor,0.0,3.0
6,england,,16,2023,2023-04-21,Arsenal,Southampton,0.789960296427358,Local,3.0,1.0
8,france,,16,2023,2023-04-21,Angers,Paris SG,0.7821035096350237,Visitor,1.0,3.0
72,portugal,,16,2023,2023-04-23,Benfica,Estoril,0.7695028996945876,Local,2.0,1.0
63,mexico,,16,2023,2023-04-23,CF America,Pumas UNAM,0.7656584058883751,Local,3.0,1.0
0,england,,16,2023,2023-04-17,Leeds Utd,Liverpool,0.7590323360935293,Visitor,1.0,3.0
31,mexico,,16,2023,2023-04-22,Mazatlan,Monterrey,0.7522324573123652,Visitor,1.0,2.0
43,spain,,16,2023,2023-04-22,Real Madrid,Celta Vigo,0.7136780489995221,Local,2.0,1.0
2,mexico,,16,2023,2023-04-17,Monterrey,Santos Laguna,0.6991123188747214,Local,2.0,1.0
59,italy,,16,2023,2023-04-23,Empoli,Inter Milan,0.6971324836490974,Visitor,1.0,2.0
33,mexico,,16,2023,2023-04-22,Pachuca,A. San Luis,0.6944154129728725,Local,2.0,1.0
68,netherlands,,16,2023,2023-04-23,Feyenoord,FC Utrecht,0.6914442380929265,Local,2.0,1.0
24,germany,,16,2023,2023-04-22,Dortmund,E. Frankfurt,0.6866133278578379,Local,3.0,1.0
55,germany,,16,2023,2023-04-23,Freiburg,Schalke 04,0.6773728991636748,Local,2.0,0.0
65,mexico,,16,2023,2023-04-23,Toluca,Juarez,0.6555800062031497,Local,2.0,1.0
16,england,,16,2023,2023-04-22,Brighton,Manchester City,0.6536276887573256,Visitor,1.0,2.0
37,netherlands,,16,2023,2023-04-22,Vitesse Arnhem,Excelsior,0.6507851127348537,Local,2.0,1.0
67,netherlands,,16,2023,2023-04-23,FC Twente,Sparta,0.6338588956512423,Local,2.0,1.0
62,italy,,16,2023,2023-04-23,Udinese,Cremonese,0.6261931380875526,Local,2.0,1.0
66,netherlands,,16,2023,2023-04-23,AZ Alkmaar,RKC Waalwijk,0.62599793532081,Local,2.0,1.0
52,france,,16,2023,2023-04-23,Nantes,Troyes,0.5947660439831656,Local,2.0,1.0
58,italy,,16,2023,2023-04-23,AC Milan,Lecce,0.5808167318828373,Local,1.0,0.0
39,portugal,,16,2023,2023-04-22,Famalicao,Maritimo,0.5800799874755451,Local,2.0,1.0
17,england,,16,2023,2023-04-22,Crystal Palace,Everton,0.5705598593283278,Local,1.0,1.0
42,spain,,16,2023,2023-04-22,Osasuna,Real Betis,0.5667878105059891,Visitor,1.0,2.0
48,france,,16,2023,2023-04-23,AC Ajaccio,Brest,0.5475235587443897,Visitor,1.0,1.0
21,france,,16,2023,2023-04-22,Auxerre,Lille,0.542381373468903,Visitor,1.0,1.0
13,portugal,,16,2023,2023-04-21,Casa Pia,Sporting Braga,0.5416404357434397,Visitor,1.0,1.0
69,netherlands,,16,2023,2023-04-23,Go Ahead Eagles,Fortuna Sittard,0.5358858006910926,Local,2.0,1.0
4,spain,,16,2023,2023-04-17,Celta Vigo,Mallorca,0.530939516783634,Local,2.0,1.0
28,italy,,16,2023,2023-04-22,Lazio,Torino,0.525427642746978,Local,2.0,1.0
29,italy,,16,2023,2023-04-22,Salernitana,Sassuolo,0.5253376887664686,Visitor,1.0,2.0
18,england,,16,2023,2023-04-22,Fulham,Leeds Utd,0.5168479093419153,Local,2.0,1.0
36,netherlands,,16,2023,2023-04-22,Heerenveen,FC Emmen,0.5115207534028418,Local,2.0,1.0
10,italy,,16,2023,2023-04-21,Hellas Verona,Bologna,0.508328461193145,Local,2.0,1.0
76,spain,,16,2023,2023-04-23,FC Barcelona,Atletico Madrid,0.49978616865279446,Local,1.0,1.0
11,mexico,,16,2023,2023-04-21,Tigres,Puebla,0.49099128630800193,Local,2.0,1.0
50,france,,16,2023,2023-04-23,Lyon,Marseille,0.48651145247012456,Visitor,1.0,1.0
64,mexico,,16,2023,2023-04-23,Guadalajara,Cruz Azul,0.4856664268617637,Local,2.0,1.0
26,germany,,16,2023,2023-04-22,Hertha Berlin,Werder Bremen,0.4793924810355191,Visitor,2.0,2.0
