league,country,league_key
Copa Africana de Naciones,Africa,
Eliminatorias de África,Africa,
African Nations Championship,Africa,
CAF Champions League,Africa,
CAF Confederation Cup,Africa,
Africa Cup of Nations Qualifying,Africa,
COSAFA Cup,Africa,
FIFA World Cup Qualifying - CAF,Africa,
Africa Cup of Nations,Africa,
Copa América,America,
CONMEBOL Recopa Sudamericana,America,
Concacaf Champions Cup,America,
CONMEBOL-UEFA Women's Cup of Champions,America,
Concacaf Gold Cup Qualifying,America,
Concacaf Gold Cup,America,
CONMEBOL-UEFA Club Challenge,America,
FIFA World Cup Qualifying - CONMEBOL,America,
CONMEBOL Pre-Olympic Tournament,America,
FIFA World Cup Qualifying - Concacaf,America,
Concacaf Central American Cup,America,
Concacaf W Champions Cup,America,
CONMEBOL-UEFA U20 Intercontinental Cup,America,
Liga Profesional de Argentina,Argentina,soccer_argentina_primera_division
Primera B de Argentina,Argentina,
Primera C de Argentina,Argentina,
Primera D de Argentina,Argentina,
Primera Nacional de Argentina,Argentina,
Argentine Supercopa,Argentina,
Copa Argentina,Argentina,
Argentine Liga Profesional de Fútbol,Argentina,
Argentine Primera C,Argentina,
Argentine Nacional B,Argentina,
Argentine Primera B,Argentina,
Argentine Trofeo de Campeones,Argentina,
Argentine Primera D,Argentina,
Argentine Copa de la Liga Profesional,Argentina,
Campeonato de fútbol ASEAN,Asia,
Champions League de la AFC,Asia,
Copa de Naciones de Asia,Asia,
Eliminatorias de Asia,Asia,
ASEAN Championship,Asia,
AFC Champions League Elite,Asia,
SAFF Championship,Asia,
AFC Champions League Two,Asia,
FIFA World Cup Qualifying - AFC,Asia,
AFC Asian Cup,Asia,
AFC Asian Cup Qualifiers,Asia,
Australian A-League Men,Australia,
Australian A-League Women,Australia,
Austrian Bundesliga,Austria,
Liga Profesional de Bélgica,Belgium,soccer_belgium_first_div
Belgian Pro League,Belgium,
Belgian Pro League Promotion/Relegation Playoffs,Belgium,
Liga Profesional Boliviana,Bolivia,
Bolivian Liga Profesional,Bolivia,
Bolivian Liga Profesional Promotion/Relegation Playoffs,Bolivia,
Campeonato Brasileño de Serie A,Brazil,soccer_brazil_campeonato
Campeonato Carioca,Brazil,
Campeonato Gaúcho,Brazil,
Campeonato Paulista,Brazil,
Campeonato Sub 20 Brasil,Brazil,
Copa Do Brazil,Brazil,
Serie B Brasil,Brazil,soccer_brazil_serie_b
Brazilian Campeonato Carioca,Brazil,
Brazilian Campeonato Paulista,Brazil,
Copa do Nordeste,Brazil,
Brazilian Campeonato Gaucho,Brazil,
Brazilian Campeonato Mineiro,Brazil,
Brazilian Supercopa Rei,Brazil,
Copa do Brasil,Brazil,
Brazilian Serie B,Brazil,
Brazilian Serie A,Brazil,
Brazilian Serie C,Brazil,
Chilean Supercopa,Chile,
Primera División: Liga Chilena,Chile,soccer_chile_campeonato
Chilean Primera División,Chile,
Copa Chile,Chile,
Superliga China,China,soccer_china_superleague
Chinese Super League,China,
Colombian Primera A,Colombia,
Primera B Colombia,Colombia,
Superliga de Colombia,Colombia,
Colombian Primera B,Colombia,
Colombian Superliga,Colombia,
Copa Colombia,Colombia,
Campeones Cup,Concacaf,
CONCACAF Liga Campeones,Concacaf,
Concacaf Nations League,Concacaf,
Concacaf W Championship,Concacaf,
Concacaf W Gold Cup,Concacaf,
Copa Oro,Concacaf,
Eliminatorias CONCACAF,Concacaf,
CONMEBOL Libertadores,Conmebol,soccer_conmebol_copa_libertadores
