team_key,espn_teams,odds_teams
1. FC Düren,1. FC Düren,
1. FC Heidenheim 1846,1. FC Heidenheim 1846,1. FC Heidenheim
1. FC Magdeburg,1. FC Magdeburg,1. FC Magdeburg
1. FC Nürnberg,1. FC Nürnberg,1. FC Nürnberg
1. FC Phönix Lübeck,1. FC Phönix Lübeck,
1. FC Union Berlin,1. FC Union Berlin,Union Berlin
2 de Mayo,2 de Mayo,
Aberdeen,Aberdeen,Aberdeen
AC Ajaccio,AC Ajaccio,AC Ajaccio
AC Milan,AC Milan,AC Milan
Academia Puerto Cabello,Academia Puerto Cabello,
Acassuso,Acassuso,
Accrington Stanley,Accrington Stanley,Accrington Stanley
Achuapa,Achuapa,
AD Guanacasteca,AD Guanacasteca,
Adana Demirspor,Adana Demirspor,Adana Demirspor
ADO Den Haag,ADO Den Haag,
ADT,ADT,
AEK Athens,AEK Athens,AEK Athens
AFC Bournemouth,AFC Bournemouth,Bournemouth
AFC Wimbledon,AFC Wimbledon,Wimbledon
Agropecuario,Agropecuario,
Aguila,Aguila,
Águilas Doradas,Águilas Doradas,
Airdrieonians,Airdrieonians,
AJ Auxerre,AJ Auxerre,Auxerre
Ajax Amsterdam,Ajax Amsterdam,Ajax
Akhmat Grozny,Akhmat Grozny,
Akron Tolyatti,Akron Tolyatti,
Al Ahli,Al Ahli,
Al Gharafa,Al Gharafa,
Al Hilal,Al Hilal,
Al Ittihad,Al Ittihad,
Al Nassr,Al Nassr,
Al Rayyan,Al Rayyan,
Al Sadd,Al Sadd,
Al Wasl,Al Wasl,
Al-Ain,Al-Ain,
Alajuelense,Alajuelense,
Alanyaspor,Alanyaspor,Alanyaspor
Alavés,Alavés,Alavés
Albacete,Albacete,Albacete
Albania,Albania,
Albirex Niigata,Albirex Niigata,Albirex Niigata
Aldosivi,Aldosivi,
Alebrijes de Oaxaca,Alebrijes de Oaxaca,
Alemania,Alemania,
Alemannia Aachen,Alemannia Aachen,Alemannia Aachen
Alianza Atlético,Alianza Atlético,
Alianza FC,Alianza FC,
Alianza Lima,Alianza Lima,
All Boys,All Boys,
Almagro,Almagro,
Almere City,Almere City,Almere City
Almería,Almería,Almería
Almirante Brown,Almirante Brown,
Al-Shorta,Al-Shorta,
Alvarado (Mar del Plata),Alvarado (Mar del Plata),
Always Ready,Always Ready,
Amazonas,Amazonas,Amazonas FC
Amazulu,Amazulu,
América,América,América
América de Cali,América de Cali,
América MG S20,América MG S20,
América-MG,América-MG,América Mineiro
American Samoa,American Samoa,
Anderlecht,Anderlecht,Anderlecht
Andorra,Andorra,
Angel City FC,Angel City FC,
Angers,Angers,Angers
Angostura FC,Angostura FC,
Anguilla,Anguilla,
Annecy,Annecy,Annecy FC
Antalyaspor,Antalyaspor,Antalyaspor
Antigua,Antigua,
Antigua and Barbuda,Antigua and Barbuda,
Antwerp,Antwerp,Royal Antwerp
Argentina,Argentina,
Argentina S23,Argentina S23,
Argentino (Merlo),Argentino (Merlo),
Argentino (Rosario),Argentino (Rosario),
Argentino de Quilmes,Argentino de Quilmes,
Argentinos Juniors,Argentinos Juniors,Argentinos Juniors
Aris,Aris,Aris Thessaloniki
Armenia,Armenia,
Arminia Bielefeld,Arminia Bielefeld,Arminia Bielefeld
Arouca,Arouca,Arouca
Arsenal,Arsenal,Arsenal
Arsenal Sarandi,Arsenal Sarandi,
Aruba,Aruba,
AS Monaco,AS Monaco,AS Monaco
AS Roma,AS Roma,AS Roma
ASD Torres,ASD Torres,
Asteras Tripoli,Asteras Tripoli,Asteras Tripolis
Aston Villa,Aston Villa,Aston Villa
Astur CF,Astur CF,
Atalanta,Atalanta,Atalanta BC
Athens Kallithea,Athens Kallithea,Athens Kallithea FC
Athletic Club,Athletic Club,Athletic Bilbao
Athletico-PR,Athletico-PR,Atletico Paranaense
Atlanta,Atlanta,
Atlanta United FC,Atlanta United FC,Atlanta United FC
Atlante,Atlante,
Atlas,Atlas,Atlas
Atlético de San Luis,Atlético de San Luis,Atlético San Luis
Atlético FC,Atlético FC,
Atlético GO S20,Atlético GO S20,
Atlético Grau,Atlético Grau,
Atlético Huila,Atlético Huila,
Atlético Junior,Atlético Junior,
Atlético Madrid,Atlético Madrid,Atlético Madrid
Atlético MG S20,Atlético MG S20,
Atlético Morelia,Atlético Morelia,
Atlético Nacional,Atlético Nacional,
Atlético PR S20,Atlético PR S20,
Atletico Rafaela,Atletico Rafaela,
Atlético Tucumán,Atlético Tucumán,Atlético Tucuman
Atlético-GO,Atlético-GO,Atletico Goianiense
Atlético-MG,Atlético-MG,Atletico Mineiro
Atromitos,Atromitos,Atromitos Athens
Aucas,Aucas,
Audax Italiano,Audax Italiano,Audax Italiano
Aurora,Aurora,
Aurrerá Vitoria,Aurrerá Vitoria,
Austin FC,Austin FC,Austin FC
Australia,Australia,
Austria,Austria,
Avaí,Avaí,Avai
Avispa Fukuoka,Avispa Fukuoka,Avispa Fukuoka
AVS,AVS,
Ayr United,Ayr United,
AZ Alkmaar,AZ Alkmaar,AZ Alkmaar
Azerbaijan,Azerbaijan,
Bahamas,Bahamas,
Bahia,Bahia,Bahia
Bahia S20,Bahia S20,
Bahrain,Bahrain,
Bandirmaspor,Bandirmaspor,
Banfield,Banfield,Banfield
Bangladesh,Bangladesh,
Barbados,Barbados,
Barcelona,Barcelona,Barcelona
Barcelona SC,Barcelona SC,
Bari,Bari,Bari
Barnsley,Barnsley,Barnsley
Baroka FC,Baroka FC,
Barracas Central,Barracas Central,Barracas Central
Barranquilla FC,Barranquilla FC,
Barrow,Barrow,Barrow
Bastia,Bastia,SC Bastia
Bay FC,Bay FC,
Bayer Leverkusen,Bayer Leverkusen,Bayer Leverkusen
Bayern Munich,Bayern Munich,Bayern Munich
Beerschot,Beerschot,Beerschot Wilrijk
Beijing Guoan,Beijing Guoan,Beijing FC
Belarus,Belarus,
Belgium,Belgium,
Belgrano (Córdoba),Belgrano (Córdoba),Belgrano de Cordoba
Belize,Belize,
Benfica,Benfica,Benfica
Berazategui,Berazategui,
Bermuda,Bermuda,
Besiktas,Besiktas,Besiktas JK
BG Pathum United,BG Pathum United,
Bhutan,Bhutan,
Birmingham City,Birmingham City,Birmingham City
Black Leopards,Black Leopards,
Blackburn Rovers,Blackburn Rovers,Blackburn Rovers
Blackpool,Blackpool,Blackpool
Blooming,Blooming,
Boavista,Boavista,Boavista Porto
